Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Location Coordinates,Migration Route,UNSD Geographical Grouping,Source Quality
Sub-Saharan Africa,20-Aug-20,2020,Aug,1,NULL,1,NULL,NULL,1,NULL,Illness,"In a health facility in Agadez, Niger - transfered from Dirkou, Niger",IOM Niger,"16.974168900000, 7.986535000000",NULL,Western Africa,4
Mediterranean,20-Aug-20,2020,Aug,5,NULL,5,NULL,NULL,5,NULL,Presumed drowning,"Remains washed ashore at Abukamash Coast,, Libya",IOM Libya,"33.107013198928, 11.765104633686",Central Mediterranean,Uncategorized,4
Mediterranean,20-Aug-20,2020,Aug,1,NULL,1,8,NULL,NULL,NULL,Accident (while attempting to jump over the fence),"At the Spain-Morocco border, in Melilla, Spain","EFE, Europa Press","35.290596130484, -2.970026316113",Western Mediterranean,Northern Africa,3
North Africa,31-Jan-17,2017,Jan,1,NULL,1,NULL,NULL,NULL,NULL,Shot,"Agadez, Niger",MHub,"16.974168900000, 7.986535000000",NULL,Northern Africa,2
Mediterranean,20-Aug-20,2020,Aug,2,NULL,2,NULL,NULL,2,NULL,Presumed drowning,"Bodies washed ashore near Abukamash, Libya",IOM Libya,"33.074222400000, 11.736723300000",Central Mediterranean,Uncategorized,4
Mediterranean,20-Aug-20,2020,Aug,1,NULL,1,NULL,NULL,1,NULL,Presumed drowning,"Bodies washed ashore at Abukamash Coast, Libya",IOM Libya,"33.074222400000, 11.736723300000",Central Mediterranean,Uncategorized,4
North Africa,20-Aug-20,2020,Aug,5,NULL,5,11,NULL,NULL,NULL,"Unknown (presumed dehydration, hypothermia)","110 miles south of Gran Canaria, Canary Islands, Spain - one person died while being transported to the hospital","Europa Press, La Voz de Asturias","26.316616056088, -15.789136518750",Western African,Uncategorized,3
Mediterranean,19-Aug-20,2020,Aug,1,2,3,15,NULL,1,NULL,Presumed drowning,"Off the coast of the Jediadah area between the cities of Zarzis and Ben Guerdane, Tunisia","Al-Jawhara FM, Tunisie Numerique, Realites Online, Alarm Phone","33.398087148493, 11.350214037500",Central Mediterranean,Uncategorized,3
North Africa,19-Aug-20,2020,Aug,15,NULL,15,NULL,NULL,NULL,NULL,"Unknown (presumed dehydration, hypothermia)","81 miles south-west of Gran Canaria, Canary Islands, Spain","EFE, El PaÃ­s, Europa Press","25.645049858858, -16.690015425000",Western African,Uncategorized,3
US-Mexico Border,19-Aug-20,2020,Aug,1,NULL,1,NULL,NULL,1,NULL,Presumed drowning,"RÃ­o Bravo, around Paseo del RÃ­o, Piedras Negras, Coahuila, Mexico",ZÃ³calo,"28.703767500000, -100.512210900000",NULL,Central America,1
Europe,19-Aug-20,2020,Aug,1,NULL,1,NULL,NULL,1,1,Presumed drowning,"Body washed up on the beach of Sangatte, Pas-de-Calais, France",French Minister Delegate in charge of Citizenship,"50.946696000000, 1.756665000000",Calais to United Kingdom,Western Europe,5
US-Mexico Border,18-Aug-20,2020,Aug,1,NULL,1,NULL,NULL,1,NULL,Accident (fell from train),"Camino a La Garrida, Irapuato, Guanajuato, Mexico","El Sol de Irapuato, am","20.735238500000, -101.369785500000",NULL,Central America,3
US-Mexico Border,18-Aug-20,2020,Aug,1,NULL,1,NULL,NULL,1,NULL,Presumed drowning,"RÃ­o Bravo, Matamoros, Tamaulipas, Mexico","EFE, Sin Embargo, The New York Times","25.880511434166, -97.497648255985",NULL,Central America,3
US-Mexico Border,18-Aug-20,2020,Aug,1,NULL,1,NULL,NULL,1,NULL,Presumed drowning,"In a canal, in the area near Bowie High School, El Paso County, Texas, USA",El Paso Times,"31.763285498978, -106.457551908460",NULL,Northern America,1
Mediterranean,17-Aug-20,2020,Aug,12,33,45,37,NULL,43,NULL,Presumed drowning,"Approximately 5 nautical miles off the coast of Zuwara, Libya; bodies washed ashore near Abukamash, Libya.",IOM Libya,"33.024841471287, 12.135219322656",Central Mediterranean,Uncategorized,4
Horn of Africa,17-Aug-20,2020,Aug,6,8,14,9,NULL,14,NULL,Drowning,"At sea, off the Guehere coast, Djibouti",IOM Djibouti medical team and local authorities,"12.330064123259, 43.536472509766",Horn Africa to Yemen,Uncategorized,5
Europe,17-Aug-20,2020,Aug,2,NULL,2,NULL,NULL,2,NULL,Drowning,"Drina River, at the Serbia-Bosnia border",IOM Serbia,"44.015749800000, 19.240193300000",Western Balkans,Southern Europe,4
US-Mexico Border,17-Aug-20,2020,Aug,1,NULL,1,NULL,1,NULL,NULL,Presumed exposure,"About 2 miles south of Hondale Road, between Deming and Columbus, Luna County, New Mexico, USA","EL Paso Times,  KFOX","32.123253500000, -107.797873400000",NULL,Northern America,3
US-Mexico Border,16-Aug-20,2020,Aug,1,NULL,1,NULL,NULL,1,NULL,Presumed drowning,"RÃ­o Bravo, Eagle Pass, Maverick County, Texas, USA",La Rancherita,"28.708691622141, -100.510035659340",NULL,Northern America,1
Europe,16-Aug-20,2020,Aug,2,NULL,2,10,NULL,1,NULL,Vehicle Accident,"On the regional road Strumica-Stip, at the Radovish junction, North Macedonia",Ministry of Internal Affairs,"41.626431800000, 22.442500800000",Western Balkans,Southern Europe,5
Mediterranean,15-Aug-20,2020,Aug,2,NULL,2,3,NULL,2,NULL,Suffocation,"At the port of Valencia, Spain - They were found dead inside a container on the Liberian ship ""Sag Good Timing"", coming from Algeria.","Europa Press, Las Provincias","39.448085100000, -0.316926700000",Western Mediterranean,Uncategorized,3
US-Mexico Border,14-Aug-20,2020,Aug,1,NULL,1,NULL,NULL,NULL,NULL,Presumed exposure,"Las Pistolas Ranch, Ciudad AcuÃ±a, Coahuila, Mexico",Super Channel 12,"29.323296300000, -100.951418700000",NULL,Central America,1
Central America,12-Aug-20,2020,Aug,1,NULL,1,NULL,1,NULL,NULL,Illness,"Santo TomÃ¡s Hospital, Panama City, Panama - She was transferred there from the PeÃ±ita transit center in the Darien Gap",National Migration Service ,"8.969966100000, -79.534257300000",Darien Gap,Central America,5
US-Mexico Border,11-Aug-20,2020,Aug,1,NULL,1,NULL,NULL,1,NULL,Presumed drowinig,"RÃ­o Bravo, close to Parque Alamedas, Ciudad AcuÃ±a, Coahuila, Mexico",La Rancherita,"29.318282950318, -100.916318889410",NULL,Central America,1
US-Mexico Border,11-Aug-20,2020,Aug,1,NULL,1,NULL,NULL,1,NULL,Presumed exposure,"Libramiento MÃ©xico II Highway, close to Nueva Ciudad Guerrero, Tamaulipas, Mexico",Lider Web,"26.554065400000, -99.181793000000",NULL,Central America,1
Caribbean,10-Aug-20,2020,Aug,NULL,5,5,12,1,4,NULL,Presumed drowning,"Off the coast of Miches, El Seibo, Dominican Republic","Al Momento, Diario Libre","19.070406943180, -69.039372535938",Dominican Republic to Puerto Rico,Uncategorized,3
Mediterranean,10-Aug-20,2020,Aug,1,NULL,1,37,NULL,1,1,Drowning,"Off the coast of Annaba, Algeria","D Zair Daily, Algerie 360","37.021735703856, 7.816825014844",Central Mediterranean,Uncategorized,1
Europe,9-Aug-20,2020,Aug,1,NULL,1,NULL,NULL,1,NULL,Drowning,"Tisa River, crossing from Hungary into Serbia",IOM Serbia,"46.143686021635, 20.062342687866",NULL,Southern Europe,5
Horn of Africa,8-Aug-20,2020,Aug,1,NULL,1,NULL,NULL,1,NULL,Unknown (presumed dehydration),"Khayte, Arta region, Djibouti",IOM Djibouti medical team and local authorities,"11.418236000000, 42.472457800000",Horn Africa to Yemen,Eastern Africa,5
Southeast Asia,8-Aug-20,2020,Aug,1,NULL,1,NULL,NULL,NULL,NULL,Shot,"At international border crossing Pakistan-India, close to Bakhasar, Rajasthan, India","Decan Herald, The Indian Express","24.688872400000, 71.098179400000",NULL,Southern Asia,3
Europe,7-Aug-20,2020,Aug,2,NULL,2,NULL,NULL,2,NULL,Drowning,"At the port of Valencia, Spain - They arrived in the Liberian ship ""Leto"", coming from Ivory Coast. The jumped off the ship just before it docked.","Efe, El PaÃ­s","39.448085100000, -0.316926700000",NULL,Southern Europe,3
Horn of Africa,6-Aug-20,2020,Aug,1,NULL,1,NULL,NULL,1,1,Dehydration,"Djiboutian desert around Guahere, Obock region, Djibouti",IOM Djibouti mobile clinic team,"12.389569100000, 43.019489700000",Horn Africa to Yemen,Eastern Africa,4
North America,5-Aug-20,2020,Aug,10,NULL,10,10,NULL,NULL,NULL,Presumed drowning,"20km southeast of Dakhla, Western Sahara","EFE, El PaÃ­s","23.797524746715, -16.037735226172",Western African,Uncategorized,3
Europe,5-Aug-20,2020,Aug,7,NULL,7,5,NULL,NULL,NULL,Vehicle Accident,"Ardani intersection in Alexandroupoli, Greece",IOM Greece,"40.845719300000, 25.873962000000",NULL,Southern Europe,4
Horn of Africa,5-Aug-20,2020,Aug,1,NULL,1,NULL,NULL,1,NULL,Dehydration,"Djiboutian desert around Guahere, Obock region, Republic of Djibouti",IOM Djibouti medical team and local authorities,"12.389569100000, 43.019489700000",Horn Africa to Yemen,Eastern Africa,5
Mediterranean,4-Aug-20,2020,Aug,5,NULL,5,NULL,NULL,NULL,NULL,Presumed drowning,"Remains recovered near Tajoura, Libya",IOM Libya,"32.881009694121, 13.409300320312",Central Mediterranean,Uncategorized,4
North Africa,3-Aug-20,2020,Aug,7,13,20,40,5,2,NULL,Drowning,"Off the coast of Tarfaya, Morocco","Caminando Fronteras, h24info.ma","27.961800397219, -12.955810856836",Western African,Uncategorized,4
Mediterranean,2-Aug-20,2020,Aug,1,7,8,3,NULL,7,NULL,Drowning,"Alboran Sea, 70 nautical miles off the coast of AlmerÃ­a, Spain","Caminando Fronteras, Europa Press, La Voz de AlmerÃ­a","35.938908600000, -3.035714100000",Western Mediterranean,Uncategorized,4
US-Mexico Border,2-Aug-20,2020,Aug,2,NULL,2,NULL,NULL,NULL,NULL,Drowning,"Pacific Ocean, close to Ocean Beach, San Diego County, California, USA","KGTV, The San Diego Union Tribune","32.749498800000, -117.247035300000",NULL,Uncategorized,3
Mediterranean,2-Aug-20,2020,Aug,2,NULL,2,55,NULL,NULL,NULL,Unknown,"Remains recovered near Zliten, Libya",IOM Libya,"32.545175586025, 14.620544935156",Central Mediterranean,Uncategorized,4
US-Mexico Border,2-Aug-20,2020,Aug,1,NULL,1,NULL,NULL,NULL,NULL,Presumed exposure,"North of the Falfurrias Border Patrol Checkpoint on U.S. Highway 281, Brooks County, Texas, USA",Breitbart,"27.226987200000, -98.144171400000",NULL,Northern America,1
US-Mexico Border,2-Aug-20,2020,Aug,1,NULL,1,NULL,NULL,1,NULL,Presumed exposure,"Unspecified location in La Rumorosa Mountain Range, Baja California, Mexico",Milenio,"32.521185700000, -116.065634400000",NULL,Central America,1
US-Mexico Border,1-Aug-20,2020,Aug,1,NULL,1,NULL,NULL,1,NULL,Injuries after falling from border wall,"Hospital in Yuma County, Arizona, USA (after falling from border wall on 26 July)",US Border Patrol,"32.692651200000, -114.627691600000",NULL,Northern America,5
Sub-Saharan Africa,1-Aug-20,2020,Aug,1,NULL,1,NULL,NULL,1,NULL,Presumed drowning,Saint John River on the border with Guinea and Liberia,GNN Liberia; IOM GUINEA,"6.480176000000, -9.573383300000",NULL,Western Africa,4
Mediterranean,1-Aug-20,2020,Aug,NULL,10,10,79,NULL,10,NULL,Presumed drowning,"Unspecified location off the coast of Libya, survivors disembarked at the Abu Sittah Naval Base, Tripoli, Libya",IOM Libya,"32.901345400000, 13.227395000000",Central Mediterranean,Uncategorized,4
Horn of Africa,1-Aug-20,2020,Aug,1,NULL,1,NULL,NULL,1,1,Dehydration - baby died after being born,"Medical Centerl (CMH) Obock, Djibouti",IOM Djibouti medical team and local authorities,"11.964746500000, 43.288407100000",Horn Africa to Yemen,Eastern Africa,5
Sub-Saharan Africa,30-Jul-20,2020,Jul,27,12,39,1,NULL,NULL,NULL,Presumed drowning,"Off the coast of Nouadhibou, Mauritania - The boat is understood to have left Dakhla, Western Sahara, some days before and was heading for the Canary Islands","IOM Mauritania, UNCHCR","20.956625512929, -17.188662502734",Western African,Uncategorized,4
Mediterranean,30-Jul-20,2020,Jul,2,NULL,2,13,NULL,2,NULL,Drowning,"Alboran Sea, off the coast of Ras El Ma, Nador, Morocco",NadorCity,"35.193268064197, -2.416617445508",Western Mediterranean,Uncategorized,1
Mediterranean,30-Jul-20,2020,Jul,1,NULL,1,11,NULL,1,NULL,Dehydration and starvation,"Alboran Sea, 56 nautical miles east of Carboneras, AlmerÃ­a, Spain - boat departed from Algeria","La Voz de AlmerÃ­a, Canal Sur","36.214401400000, -3.419552700000",Western Mediterranean,Uncategorized,3
US-Mexico Border,30-Jul-20,2020,Jul,1,NULL,1,NULL,NULL,1,NULL,Hyperthermia,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"31.804176000000, -111.819617400000",NULL,Northern America,5
US-Mexico Border,30-Jul-20,2020,Jul,1,NULL,1,NULL,NULL,1,NULL,Hyperthermia,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"32.057499000000, -111.666072500000",NULL,Northern America,5
US-Mexico Border,29-Jul-20,2020,Jul,1,NULL,1,NULL,NULL,1,NULL,Hyperthermia,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"31.461192400000, -111.244386800000",NULL,Northern America,5
US-Mexico Border,29-Jul-20,2020,Jul,1,NULL,1,NULL,NULL,1,NULL,Presumed drowning,"RÃ­o Bravo at Juarez-Lincoln International Bridge, Nuevo Laredo, Tamaulipas, MÃ©xico","LÃ­der Web, El MaÃ±ana","27.499030200000, -99.502651600000",NULL,Central America,1
Mediterranean,29-Jul-20,2020,Jul,9,NULL,9,6,NULL,1,NULL,Presumed drowning,"Unspecified location off the coast of Libya - survivors disembarked in Tajoura, Libya",IOM Libya,"33.173460414538, 13.442259304687",Central Mediterranean,Uncategorized,4
Mediterranean,30-Jun-17,2017,Jun,10,NULL,10,NULL,NULL,NULL,NULL,Drowning,"Bodies washed up near Zarzis, Tunisia",IOM Tunisia,"33.514303300000, 11.098731100000",Central Mediterranean,Uncategorized,4
US-Mexico Border,28-Jul-20,2020,Jul,1,NULL,1,NULL,NULL,1,1,Drowning,"RÃ­o Bravo, Ciudad Juarez, Chihuahua, Mexico","El Heraldo de JuÃ¡rez, Net Notiicas","31.709642584844, -106.373736032420",NULL,Central America,3
US-Mexico Border,27-Jul-20,2020,Jul,1,NULL,1,NULL,NULL,1,NULL,Unknown,"La MisiÃ³n, Ciudad AcuÃ±a, Coahuila, Mexico",ZÃ³calo,"29.304745800000, -100.902496200000",NULL,Central America,1
Mediterranean,27-Jul-20,2020,Jul,3,NULL,3,71,NULL,3,2,Shot,"Al Khums disembarkation point, after being intercepted off the coast of Libya","IOM Libya, UNHCR","32.650950500000, 14.267898900000",Central Mediterranean,Northern Africa,4
Mediterranean,27-Jul-20,2020,Jul,1,NULL,1,11,NULL,NULL,NULL,Drowning,"Unspecified off the coast of Zarzis, Tunisia","Alarm Phone, TN24, Directinfo","33.501813242461, 11.158187241797",Central Mediterranean,Uncategorized,4
US-Mexico Border,26-Jul-20,2020,Jul,2,NULL,2,1,NULL,NULL,NULL,Vehicle accident (during chase by CBP and police),"Ranch Road 674, Brackettville, Kinney County, Texas, USA","CBP, Kinney County Sheriff's Office, ZÃ³calo","29.327756400000, -100.408797700000",NULL,Northern America,5
Horn of Africa,26-Jul-20,2020,Jul,1,NULL,1,NULL,1,NULL,NULL,Dehydration,"Djiboutian desert around Doubiya, Obock region, Republic of Djibouti",IOM Djibouti medical team and local authorities,"12.130000000000, 43.380555600000",Horn Africa to Yemen,Eastern Africa,5
Mediterranean,26-Jul-20,2020,Jul,1,2,3,13,NULL,NULL,NULL,Presumed drowning,"Unspecified location off the coast of Melloulech, Tunisia","Alarm Phone, Webdo","35.141411497282, 11.123592798047",Central Mediterranean,Uncategorized,4
US-Mexico Border,26-Jul-20,2020,Jul,1,NULL,1,NULL,NULL,1,NULL,Accident (fell from border wall),"Near County 23rd Street, Yuma County, Arizona, USA",US Border Patrol,"32.442535431463, -114.633392470020",NULL,Northern America,5
US-Mexico Border,25-Jul-20,2020,Jul,1,NULL,1,NULL,NULL,1,NULL,Probable hyperthermia,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"32.325149400000, -113.235480700000",NULL,Northern America,5
US-Mexico Border,24-Jul-20,2020,Jul,1,NULL,1,NULL,NULL,1,NULL,Presumed drowning,"RÃ­o Bravo, in the vecinity of the Kickapoo Casino, south of Eagle Pass, Maverick County, Texas, USA",Milton Andree,"28.608114010866, -100.443555305830",NULL,Northern America,1
North Africa,23-Jul-20,2020,Jul,1,NULL,1,NULL,NULL,1,NULL,Presumed drowning,"Body found 1 nautical mile (1,85 Km) off the coast of Morro Jable, Fuerteventura, Canary Islands, Spain",EFE,"28.000194883257, -14.368031492187",Western African,Uncategorized,1
Caribbean,22-Jul-20,2020,Jul,NULL,12,12,1,NULL,NULL,NULL,Presumed drowning,"Mona passage, Puerto Rico, USA",US Coast Guard,"18.343802741192, -67.859788215625",NULL,Caribbean,5
Mediterranean,22-Jul-20,2020,Jul,NULL,6,6,8,NULL,NULL,NULL,Presumed drowning,"Gibraltar Strait, between Tangiers, Morocco, and Algeciras, CÃ¡diz, Spain",Caminando Fronteras,"35.998239800000, -5.687873600000",Western Mediterranean,Uncategorized,4
US-Mexico Border,21-Jul-20,2020,Jul,1,NULL,1,NULL,NULL,1,NULL,Hyperthermia,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"31.890798000000, -111.553213900000",NULL,Northern America,5
US-Mexico Border,21-Jul-20,2020,Jul,1,NULL,1,NULL,NULL,1,NULL,Hyperthermia,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"31.993970600000, -111.986816700000",NULL,Northern America,5
US-Mexico Border,21-Jul-20,2020,Jul,1,NULL,1,NULL,NULL,NULL,NULL,Unknown (mummified and skeletal remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"31.910342800000, -111.712032900000",NULL,Northern America,5
US-Mexico Border,21-Jul-20,2020,Jul,5,NULL,5,NULL,NULL,NULL,NULL,Unknown,"Unspecified location close to Laredo, Webb County, Texas, USA",El maÃ±ana,"27.503561300000, -99.507551900000",NULL,Northern America,1
US-Mexico Border,21-Jul-20,2020,Jul,1,NULL,1,NULL,NULL,1,NULL,Unknown (mummified and decomposed remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"32.378343900000, -111.491549300000",NULL,Northern America,5
Mediterranean,21-Jul-20,2020,Jul,1,NULL,1,NULL,NULL,NULL,NULL,Presumed drowning,Body spotted floating at sea by Sea-Watch's Moonbird in position 33Âº25N 015Âº15E,Sea-Watch,"33.368527742572, 15.367405414581",Central Mediterranean,Uncategorized,4
US-Mexico Border,20-Jul-20,2020,Jul,1,NULL,1,NULL,NULL,NULL,NULL,Presumed drowning,"Rio Bravo, in the vecinity of Bowie High School, El Paso, Texas, USA",Debbie Nathan (independent journalist),"31.763285498978, -106.457637739150",NULL,Northern America,1
US-Mexico Border,20-Jul-20,2020,Jul,1,NULL,1,NULL,NULL,1,NULL,Unknown (mummified remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"41.626431800000, 22.442500800000",NULL,Northern America,5
US-Mexico Border,20-Jul-20,2020,Jul,1,NULL,1,NULL,NULL,1,NULL,Unknown (mummified and skeletal remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"32.057499000000, -111.666072500000",NULL,Northern America,5
Mediterranean,20-Jul-20,2020,Jul,NULL,2,2,NULL,NULL,2,NULL,Presumed drowning,"Unspecified location in the Gibraltar Strait, off the coast of Tanger, Morocco","Caminando Fronteras, Xibaaru.sn","35.825187212638, -5.794128860547",NULL,Uncategorized,4
US-Mexico Border,20-Jul-20,2020,Jul,1,NULL,1,NULL,NULL,NULL,NULL,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"31.688290300000, -111.994218900000",NULL,Northern America,5
US-Mexico Border,20-Jul-20,2020,Jul,1,NULL,1,NULL,NULL,1,NULL,Probable hyperthermia,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"32.544590800000, -111.932355800000",NULL,Northern America,5
North Africa,30-Jun-17,2017,Jun,1,NULL,1,NULL,NULL,NULL,NULL,Shot,"Unspecified location, Libya",MHub,"27.549510052990, 14.591612250000",NULL,Northern Africa,2
US-Mexico Border,19-Jul-20,2020,Jul,1,NULL,1,NULL,NULL,1,NULL,Presumed drowning,"RÃ­o Bravo in Miguel AlemÃ¡n, Tamaulipas, Mexico",VMC Agencia Informativa,"26.407691677633, -99.024691929053",NULL,Central America,1
Europe,19-Jul-20,2020,Jul,1,NULL,1,NULL,NULL,1,NULL,Unknown,"On the shore of the Lake BileÄ‡a in MiruÅ¡e, BileÄ‡a Municipality, Bosnia and Herzegovina","Nezavisne, Klix","42.825215600000, 18.439474000000",Western Balkans,Southern Europe,3
Mediterranean,19-Jul-20,2020,Jul,NULL,2,2,88,NULL,2,NULL,Presumed drowning,"Unspecified location off the coast of Libya - survivors disembarked at Al Khums, Libya",IOM Libya,"33.282335972307, 14.319168319491",Central Mediterranean,Uncategorized,4
North Africa,18-Jul-20,2020,Jul,NULL,63,63,NULL,20,NULL,1,Presumed drowning,"Left from Tarfaya, Morocco with the Canary Islands as presumed destination, disappeared without a trace","Alarm Phone, Caminando Fronteras, Spanish Refugee Commission","27.988482516115, -12.957184147852",Western African,Uncategorized,4
